com.samsung.shealth.tracker.pedometer_day_summary,6091017,5,,,,,,,,,,,,,,,,
create_time,distance,achievement,step_count,recommendation,day_time,speed,deviceuuid,active_time,source_package_name,pkg_name,update_time,walk_step_count,binning_data,datauuid,calorie,run_step_count,source_info,healthy_step
2020-03-06 04:00:07.277,6390.217,1ff7fd60-7d56-49d5-ba40-5904351cd3a4.achievement.json,7618,6000,1583366400000,3.7104855,LEU3VEaDjN,3642876,com.sec.android.app.shealth,com.sec.android.app.shealth,2020-03-06 04:00:07.277,6452,1ff7fd60-7d56-49d5-ba40-5904351cd3a4.binning_data.json,1ff7fd60-7d56-49d5-ba40-5904351cd3a4,322.28177,1166,,0
2020-03-09 10:01:09.659,7378.3213,4b5c4321-b6fe-48b3-a8ba-d9a7cb01454d.achievement.json,9478,6000,1583712000000,1.4816039,VfS0qUERdZ,4979955,com.sec.android.app.shealth,com.sec.android.app.shealth,2020-03-10 04:00:03.062,9460,4b5c4321-b6fe-48b3-a8ba-d9a7cb01454d.binning_data.json,4b5c4321-b6fe-48b3-a8ba-d9a7cb01454d,337.54654,18,4b5c4321-b6fe-48b3-a8ba-d9a7cb01454d.source_info.json,0
2020-02-29 12:21:23.011,3050.4888,1f01ccba-0b00-4d45-823f-615a66398b81.achievement.json,3844,6000,1582934400000,1.5083915,VfS0qUERdZ,2022345,com.sec.android.app.shealth,com.sec.android.app.shealth,2020-03-01 04:00:02.147,3793,1f01ccba-0b00-4d45-823f-615a66398b81.binning_data.json,1f01ccba-0b00-4d45-823f-615a66398b81,140.20209,51,1f01ccba-0b00-4d45-823f-615a66398b81.source_info.json,0
2020-02-21 10:50:13.238,3930.9229,27569659-d233-4fc3-bf84-be65af3c3236.achievement.json,4872,6000,1582243200000,1.5447109,VfS0qUERdZ,2544763,com.sec.android.app.shealth,com.sec.android.app.shealth,2020-02-22 02:08:16.848,4717,27569659-d233-4fc3-bf84-be65af3c3236.binning_data.json,27569659-d233-4fc3-bf84-be65af3c3236,185.6473,155,27569659-d233-4fc3-bf84-be65af3c3236.source_info.json,0
2020-02-19 10:00:42.395,7082.9883,7f625e16-4f7e-4cf6-90a2-8d2dc38fb381.achievement.json,8702,6000,1582070400000,1.6387396,VfS0qUERdZ,4322217,com.sec.android.app.shealth,com.sec.android.app.shealth,2020-02-20 03:41:29.963,7995,7f625e16-4f7e-4cf6-90a2-8d2dc38fb381.binning_data.json,7f625e16-4f7e-4cf6-90a2-8d2dc38fb381,342.55713,707,7f625e16-4f7e-4cf6-90a2-8d2dc38fb381.source_info.json,0
2020-01-21 10:01:08.434,8754.57,a261e78c-ec14-46d3-a4d6-dfa6444ab7d7.achievement.json,10329,6000,1579564800000,1.8102603,VfS0qUERdZ,4836083,com.sec.android.app.shealth,com.sec.android.app.shealth,2020-01-22 03:48:16.446,8876,a261e78c-ec14-46d3-a4d6-dfa6444ab7d7.binning_data.json,a261e78c-ec14-46d3-a4d6-dfa6444ab7d7,436.38666,1453,a261e78c-ec14-46d3-a4d6-dfa6444ab7d7.source_info.json,0
2020-01-27 04:00:00.854,1917.5487,0f0bf95a-1d3e-4a0a-abc1-fd7818a0c0f3.achievement.json,2382,6000,1579996800000,2.641741,LEU3VEaDjN,1205004,com.sec.android.app.shealth,com.sec.android.app.shealth,2020-01-27 04:00:00.854,2311,0f0bf95a-1d3e-4a0a-abc1-fd7818a0c0f3.binning_data.json,0f0bf95a-1d3e-4a0a-abc1-fd7818a0c0f3,89.44045,71,,0
2020-03-04 10:04:46.400,9711.357,165cb157-7169-4893-aaa8-fbe00b08f13e.achievement.json,11526,6000,1583280000000,1.7446178,VfS0qUERdZ,5566467,com.sec.android.app.shealth,com.sec.android.app.shealth,2020-03-05 03:48:39.279,9688,165cb157-7169-4893-aaa8-fbe00b08f13e.binning_data.json,165cb157-7169-4893-aaa8-fbe00b08f13e,492.73148,1838,165cb157-7169-4893-aaa8-fbe00b08f13e.source_info.json,0
2020-02-16 17:38:22.537,2312.4841,76364a55-1020-42ef-a4b6-74d99b74ef1b.achievement.json,2759,6000,1581811200000,1.7072731,VfS0qUERdZ,1354489,com.sec.android.app.shealth,com.sec.android.app.shealth,2020-02-17 01:45:55.023,2543,76364a55-1020-42ef-a4b6-74d99b74ef1b.binning_data.json,76364a55-1020-42ef-a4b6-74d99b74ef1b,112.79531,216,76364a55-1020-42ef-a4b6-74d99b74ef1b.source_info.json,0
2020-01-20 04:00:01.455,700.3379,0bfe8696-8f7d-4a48-94ed-e541615f0fc0.achievement.json,856,6000,1579392000000,4.2030406,LEU3VEaDjN,434793,com.sec.android.app.shealth,com.sec.android.app.shealth,2020-01-20 04:00:01.455,832,0bfe8696-8f7d-4a48-94ed-e541615f0fc0.binning_data.json,0bfe8696-8f7d-4a48-94ed-e541615f0fc0,33.448776,24,,0
