com.samsung.shealth.activity.day_summary,6091017,1,,,,,,,,,,,,,,,
others_time,goal,longest_idle_time,create_time,distance,run_time,step_count,walk_time,day_time,deviceuuid,active_time,score,pkg_name,update_time,longest_active_time,datauuid,extra_data,calorie
0,-1,-1,2020-03-17 10:53:25.865,0,0,0,0,1583107200000,7jMRbZJdf9,0,0,com.sec.android.app.shealth,2020-03-17 10:53:25.865,0,50cf7069-8722-4363-8610-d8ea11de37cd,50cf7069-8722-4363-8610-d8ea11de37cd.extra_data.json,0
0,-1,-1,2020-03-17 10:53:26.434,0,0,0,0,1583798400000,7jMRbZJdf9,0,0,com.sec.android.app.shealth,2020-03-17 10:53:26.434,0,74011bd4-53b2-4550-a643-ca8ea429405f,74011bd4-53b2-4550-a643-ca8ea429405f.extra_data.json,0
0,-1,-1,2020-03-17 10:53:26.339,0,0,0,0,1583625600000,7jMRbZJdf9,0,0,com.sec.android.app.shealth,2020-03-17 10:53:26.339,0,490a3984-0cc1-4fc3-9097-921df1cb362d,490a3984-0cc1-4fc3-9097-921df1cb362d.extra_data.json,0
0,-1,-1,2020-03-17 10:53:26.385,0,0,0,0,1583712000000,7jMRbZJdf9,0,0,com.sec.android.app.shealth,2020-03-17 10:53:26.385,0,798eb078-70c8-4df0-8b7a-b2a75886a465,798eb078-70c8-4df0-8b7a-b2a75886a465.extra_data.json,0
0,-1,-1,2020-03-17 10:53:26.733,0,0,0,0,1584316800000,7jMRbZJdf9,0,0,com.sec.android.app.shealth,2020-03-17 10:53:26.733,0,d32877ba-1c2e-4c14-ac41-e9bcd3617af9,d32877ba-1c2e-4c14-ac41-e9bcd3617af9.extra_data.json,0
0,-1,-1,2020-03-17 10:53:26.133,0,0,0,0,1583366400000,7jMRbZJdf9,0,0,com.sec.android.app.shealth,2020-03-17 10:53:26.133,0,d8c861ec-3c56-45b8-8dce-7866ffed98e0,d8c861ec-3c56-45b8-8dce-7866ffed98e0.extra_data.json,0
0,-1,-1,2020-03-17 10:53:26.298,0,0,0,0,1583539200000,7jMRbZJdf9,0,0,com.sec.android.app.shealth,2020-03-17 10:53:26.298,0,c99ffc1c-d395-4c28-b4f3-a60297f16bd9,c99ffc1c-d395-4c28-b4f3-a60297f16bd9.extra_data.json,0
0,-1,-1,2020-03-17 10:53:25.213,0,0,0,0,1582416000000,7jMRbZJdf9,0,0,com.sec.android.app.shealth,2020-03-17 10:53:25.213,0,b0784be2-9e0b-434d-8356-33f9e8714d6f,b0784be2-9e0b-434d-8356-33f9e8714d6f.extra_data.json,0
0,-1,-1,2020-03-17 10:53:26.676,0,0,0,0,1584230400000,7jMRbZJdf9,0,0,com.sec.android.app.shealth,2020-03-17 10:53:26.676,0,6bfbf4a4-99b3-4ef1-9fe3-705021dc61ab,6bfbf4a4-99b3-4ef1-9fe3-705021dc61ab.extra_data.json,0
0,60,-1,2020-03-23 04:00:00.403,0,0,0,0,1584921600000,7jMRbZJdf9,0,0,com.sec.android.app.shealth,2020-03-23 04:00:00.403,0,73c0d9d8-9c4e-4597-98fe-93f8175480fb,73c0d9d8-9c4e-4597-98fe-93f8175480fb.extra_data.json,0
0,-1,-1,2020-03-17 10:53:26.475,0,0,0,0,1583884800000,7jMRbZJdf9,0,0,com.sec.android.app.shealth,2020-03-17 10:53:26.475,0,92427672-9d86-4565-815b-d23ca3375487,92427672-9d86-4565-815b-d23ca3375487.extra_data.json,0
0,-1,-1,2020-03-17 10:53:26.572,0,0,0,0,1584057600000,7jMRbZJdf9,0,0,com.sec.android.app.shealth,2020-03-17 10:53:26.572,0,46a528b8-12a6-4324-ae25-e751a5accdf4,46a528b8-12a6-4324-ae25-e751a5accdf4.extra_data.json,0
0,-1,-1,2020-03-17 10:53:26.621,0,0,0,0,1584144000000,7jMRbZJdf9,0,0,com.sec.android.app.shealth,2020-03-17 10:53:26.621,0,83f073d0-3bcd-4a10-9c28-faf5aabdbe07,83f073d0-3bcd-4a10-9c28-faf5aabdbe07.extra_data.json,0
0,-1,-1,2020-03-17 10:53:25.666,0,0,0,0,1582934400000,7jMRbZJdf9,0,0,com.sec.android.app.shealth,2020-03-17 10:53:25.666,0,1a1ef2a8-b18b-4098-bdcb-2a4d460f2f31,1a1ef2a8-b18b-4098-bdcb-2a4d460f2f31.extra_data.json,0
0,60,59504465,2020-03-18 04:00:00.657,3905.75,2120341,0,0,1584489600000,7jMRbZJdf9,2120341,58,com.sec.android.app.shealth,2020-03-19 04:00:00.319,1746000,1cc33796-ae82-49fe-bbba-db314ec52f07,1cc33796-ae82-49fe-bbba-db314ec52f07.extra_data.json,233
0,60,-1,2020-03-29 04:00:01.094,0,0,0,0,1585440000000,7jMRbZJdf9,0,0,com.sec.android.app.shealth,2020-03-29 04:00:01.094,0,d5be48db-2d85-4322-810a-a6db67c4c41b,d5be48db-2d85-4322-810a-a6db67c4c41b.extra_data.json,0
0,60,-1,2020-03-22 04:00:00.649,0,0,0,0,1584835200000,7jMRbZJdf9,0,0,com.sec.android.app.shealth,2020-03-22 04:00:00.649,0,4bcf415e-2dcf-4b14-884c-3c76bf00af9b,4bcf415e-2dcf-4b14-884c-3c76bf00af9b.extra_data.json,0
0,60,-1,2020-03-20 04:00:01.218,0,0,0,0,1584662400000,7jMRbZJdf9,0,0,com.sec.android.app.shealth,2020-03-20 04:00:01.218,0,f4e15b7e-b364-4842-9949-d7dfebb12c7d,f4e15b7e-b364-4842-9949-d7dfebb12c7d.extra_data.json,0
0,60,-1,2020-03-21 04:00:01.182,0,0,0,0,1584748800000,7jMRbZJdf9,0,0,com.sec.android.app.shealth,2020-03-21 04:00:01.182,0,93dc6e96-cd99-479c-a850-468e49f5f9fe,93dc6e96-cd99-479c-a850-468e49f5f9fe.extra_data.json,0
0,-1,-1,2020-03-17 10:53:26.220,0,0,0,0,1583452800000,7jMRbZJdf9,0,0,com.sec.android.app.shealth,2020-03-17 10:53:26.220,0,fb4d359d-6069-41a0-8740-9a1ca8789b2b,fb4d359d-6069-41a0-8740-9a1ca8789b2b.extra_data.json,0
0,60,-1,2020-03-24 04:00:00.200,0,0,0,0,1585008000000,7jMRbZJdf9,0,0,com.sec.android.app.shealth,2020-03-24 04:00:00.200,0,86396685-f66d-4da1-b98d-c2f1fb8faa54,86396685-f66d-4da1-b98d-c2f1fb8faa54.extra_data.json,0
0,60,-1,2020-04-04 04:00:01.317,0,0,0,0,1585958400000,7jMRbZJdf9,0,0,com.sec.android.app.shealth,2020-04-04 04:00:01.317,0,37d8a1af-b1b6-49c5-9a03-0d4cc2e771b1,37d8a1af-b1b6-49c5-9a03-0d4cc2e771b1.extra_data.json,0
0,60,-1,2020-03-27 04:00:10.166,0,0,0,0,1585267200000,7jMRbZJdf9,0,0,com.sec.android.app.shealth,2020-03-27 04:00:10.166,0,86864b70-c781-4844-abec-76023d3965cb,86864b70-c781-4844-abec-76023d3965cb.extra_data.json,0
0,60,-1,2020-03-26 04:00:00.234,0,0,0,0,1585180800000,7jMRbZJdf9,0,0,com.sec.android.app.shealth,2020-03-26 04:00:00.234,0,6910bd6b-7250-4b84-a06e-672428d37edc,6910bd6b-7250-4b84-a06e-672428d37edc.extra_data.json,0
